"person","givenName","surname"
"http://dbpedia.org/resource/Leslie_Scalapino","Leslie","Scalapino"
"http://dbpedia.org/resource/Tom_Cotter_(environmentalist)","Tom","Cotter"
"http://dbpedia.org/resource/Barrie_Stavis","Barrie","Stavis"
"http://dbpedia.org/resource/Lass_Small","Lass","Small"
"http://dbpedia.org/resource/Shoney_Lamar","Shoney","Lamar"
"http://dbpedia.org/resource/A._B._Spellman","A. B.","Spellman"
"http://dbpedia.org/resource/George_Howard_Earle,_Jr.","George Howard Jr.","Earle"
"http://dbpedia.org/resource/Peggy_Moreland","Peggy","Moreland"
"http://dbpedia.org/resource/Hal_Yates","Hal","Yates"
"http://dbpedia.org/resource/Aaron_Ehasz","Aaron","Ehasz"
"http://dbpedia.org/resource/David_F._Musto","David F.","Musto"
"http://dbpedia.org/resource/Katie_Fallon","Katie","Fallon"
"http://dbpedia.org/resource/Naomi_Rosenblum","Naomi","Rosenblum"
"http://dbpedia.org/resource/Barrows_Dunham","Barrows","Dunham"
"http://dbpedia.org/resource/Candy_Dawson_Boyd","Candy Dawson","Boyd"
"http://dbpedia.org/resource/Andy_Albright","Andy","Albright"
"http://dbpedia.org/resource/Tina_Chang","Tina","Chang"
"http://dbpedia.org/resource/Gwyn_Cready","Gwyn","Cready"
"http://dbpedia.org/resource/J._P._Walker","JP","Walker"
"http://dbpedia.org/resource/Ann_Hood","Ann","Hood"
"http://dbpedia.org/resource/Daryn_Tufts","Daryn","Tufts"
"http://dbpedia.org/resource/Diane_Chamberlain","Diane","Chamberlain"
"http://dbpedia.org/resource/Gary_K._Wolfe","Gary K.","Wolfe"
"http://dbpedia.org/resource/Guy_Garcia","Guy","Garcia"
"http://dbpedia.org/resource/J._L._King","J. L.","King"
"http://dbpedia.org/resource/Jackie_Kessler","Jackie","Kessler"
"http://dbpedia.org/resource/Janet_Kay_Jensen","Janet Kay","Jensen"
"http://dbpedia.org/resource/Leigh_Allison_Wilson","Leigh Allison","Wilson"
"http://dbpedia.org/resource/Lori_K._Gordon","Lori K.","Gordon"
"http://dbpedia.org/resource/Nora_Johnson","Nora","Johnson"
"http://dbpedia.org/resource/Raegan_Butcher","Raegan","Butcher"
"http://dbpedia.org/resource/Thomas_Ascol","Thomas","Ascol"
"http://dbpedia.org/resource/Mayo_Simon","Mayo","Simon"
"http://dbpedia.org/resource/Ray_McManus","Ray","McManus"
"http://dbpedia.org/resource/Rhett_Reese","Rhett","Reese"
